位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
武汉·硚口区·宗关,极验,信息安全,学历不限,经验不限,10-15K,后端|Python,python 后端开发
北京·朝阳区·望京,巨锝数据,大数据,大专,1-3年,8-12K,容器技术|初级软件工程师|Django|Flask,Python 初级开发工程师
北京·海淀区·上地,脉讯在线,互联网,本科,1-3年,12-20K,NoSQL|大数据|搜索引擎技术|MySQL|人工智能,Python 开发工程师
北京·朝阳区·望京,万能青年,游戏,本科,1-3年,15-25K·15薪,后端|Python|计算机相关专业|服务端开发经验,PYTHON 后端工程师
唐山·路北区·煤医道,探秘科技,其他专业服务,本科,1-3年,8-12K,数据开发|运维开发|机器学习/算法工程|Python|服务端开发经验,Python 软件工程师
深圳·南山区·西丽,蓝因机器人,智能硬件,本科,1-3年,11-14K,后端|Python|Django|Tornado|计算机相关专业|服务端开发经验|英语读写能力良好,python web后端开发工程师
南京·雨花台区·安德门,悦道网络科技,广告营销,本科,1年以内,6-7K,Python|Flask|Nginx|Docker|PostgreSQL|MySQL|Redis|Linux开发/部署经验,Python AI应用开发工程师
北京·海淀区·五道口,北京艾托邦,计算机服务,本科,3-5年,30-60K·15薪,Python|金融领域|大数据领域,高级 Python 开发工程师（金融、大数据）
北京·海淀区·西北旺,Aibee,互联网,本科,经验不限,20-40K·15薪,后端开发|全栈开发|容器技术|Django|Flask|Tornado|中级软件工程师|软件工程师,PYTHON 开发工程师（企业内部系统）
成都·武侯区·高升桥,四川上氏企业管理...,咨询,学历不限,1-3年,20-30K,网络爬虫技术|软件工程师|初级软件工程师|中级软件工程师|Windows,高薪 python 开发工程师 兼职也可以 没难度
深圳·南山区·科技园,深圳魔行科技有限公司,大数据,本科,3-5年,20-30K·13薪,爬虫|网络爬虫技术|Java|爬虫经验|NoSQL|MySQL|Redis|MongoDB|Python,Python爬虫工程师
成都·武侯区·铁像寺,成都优哲晟峰科技,计算机软件,大专,1-3年,7-12K,爬虫|机器学习/算法工程|Python|计算机相关专业|爬虫经验,python爬虫工程师
太原·万柏林区·下元,山西华瑞鑫,环保,大专,1-3年,4-6K,爬虫|Python,Python
深圳·福田区·华强南,深圳杰尔玛贸易,进出口贸易,学历不限,经验不限,10000-15000元/月,后端|爬虫|数据开发|Python|Golang|Java|计算机相关专业|数学/统计相关专业|服务端开发经验,Python
北京·海淀区·西二旗,百度,互联网,3个月,4天/周,200-300元/天,后端|爬虫|数据开发|Python,Python
天津·滨海新区·中新生态城,天津海扬科技,大数据,本科,1-3年,5-10K,数据开发|运维开发|爬虫|Python|Java|MySQL|计算机相关专业|全栈开发经验|爬虫经验,Python
长沙·岳麓区·步步高,湖南智泰,医疗服务,大专,1-3年,10-14K,后端|爬虫|Python|PHP|计算机相关专业|服务端开发经验|爬虫经验,Python
银川·金凤区·新城,云间来客网络科技,互联网,本科,经验不限,5-6K,Java|Redis|后端|数据结构|SQL|爬虫|爬虫经验|Shell|NoSQL|微服务经验|Docker|Elasticsearch|Linux|服务端开发经验|Django|MySQL|全栈开发经验|运维开发经验|MongoDB|Linux开发/部署经验|容器技术|运维开发|Flask|Python,Python
深圳·宝安区·宝安中心区,深圳用图科技有限公司,互联网,6个月,5天/周,200-320元/天,Python|Elasticsearch|MongoDB|爬虫经验,Python爬虫实习生
北京·海淀区·西二旗,氢元数据,互联网,6个月,5天/周,150-300元/天,Python|网络爬虫,Python爬虫实习生
南京·雨花台区·铁心桥,昆虫软件,大数据,本科,经验不限,6-10K·13薪,网络爬虫技术|Scrapy,Python
沈阳·和平区·文体西路,光音网视,游戏,学历不限,1-3年,10-15K,系统架构|爬虫工程师,Python
深圳·南山区·科技园,数野科技,大数据,本科,1-3年,15-30K·14薪,Python|Golang|其他|Kafka|MySQL|其他|爬虫经验|云计算经验|远程办公|可兼职,Python
北京·海淀区·牡丹园,今日头条,互联网,本科,3-5年,25-50K,SQL|Java,Python
杭州,一沃福,仪器仪表/工业自动化,本科,3-5年,13-15K·14薪,人工智能|软件工程师|Linux,Python
上海·松江区·九亭,静欧商贸,移动互联网,学历不限,3-5年,10-13K,Python|Java,python
绍兴·诸暨市·店口镇,绍兴智合信息技术,互联网,大专,经验不限,3-4K,Python,python
北京·朝阳区·奥运村,北京数创世纪,互联网,本科,3-5年,10000-15000元/月,Python|MySQL|ira|redmine,python
郑州·金水区·省人民医院,瀚申,在线教育,本科,经验不限,4-8K·14薪,后端|数据开发|Python|Django|Flask|计算机相关专业|服务端开发经验,Python
广州·越秀区·五羊新城,富融,计算机软件,学历不限,3-5年,7-12K,Javascript|Python|数据库,Python
