位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
广州·天河区·车陂,千帆阅文,文化艺术/娱乐,大专,3-5年,12-20K,付费小说|投放,小说信息流优化师
广州·天河区·棠下,上海赛搜信息科技,互联网,大专,1-3年,4-6K,信息流短视频|广告片|信息流广告|AE|信息流|Premiere|短视频|Photoshop|不接受兼职,信息流剪辑师-广州
柳州·柳南区·航银,豪森药业,其他行业,大专,经验不限,10-15K,医药代表|医药领域|处方药销售|抗肿瘤专用药|学术推广|生物技术,医药信息顾问
濮阳·华龙区·五一路,盛源集团,石油/石化,本科,3-5年,6-10K,企业内部IT技术支持,信息化工程师
绵阳·涪城区·剑南市场,聚鑫速融,互联网金融,学历不限,1-3年,3-5K,资信评估|信贷管理,信息审核专员
上海·浦东新区·张江,梦策科技,移动互联网,大专,1-3年,7-12K,信息流|投放|推广|app,信息流优化师
十堰·竹溪县·竹溪客运站,以岭药业,生物/制药,大专,1-3年,6-10K,处方药销售|OTC销售|专科特药|普药,医药信息沟通专员
焦作·解放区·王府井,河南省格尚信息科...,广告/公关/会展,大专,1-3年,8-10K,广告销售|电话销售|网络销售|面销|广告,信息流广告销售
保山·隆阳区·建设路,恒瑞医药,医疗健康,本科,经验不限,4-7K,不限|处方药销售|专科特药|抗肿瘤专用药,医药信息沟通专员
深圳·龙华区·民治,汇易通,分类信息,中专/中技,经验不限,5-6K,软件/信息技术项目|计算机相关专业,信息技术专员
承德,承德美联行汽车销...,4S店/后市场,中专/中技,1-3年,3-4K,门店/柜台销售|电话销售|服务意识|基本坐班|汽车|沟通能力|企业服务|企业（To B）|销售数据统计分析|电子商务|数据分析能力,汽车销售信息员
上海·静安区·火车站,上海星艋信息,广告营销,大专,3-5年,15-22K,头条系|ka客户|年终奖,信息流项目经理
杭州·滨江区·长河,一簇传媒,广告/公关/会展,大专,1-3年,13-16K,信息流优化师|效果广告|小红书,信息流优化主管
揭阳,广东兆顺汽贸,4S店/后市场,本科,1-3年,4-5K,新车销售|一对一培训|大专以上学历|网络销售,汽车销售信息员
宿迁,江苏仁义,其他生活服务,大专,1-3年,5-6K,注册监理工程师,信息化监理工程师
济南·历下区·齐鲁软件园,新天地测绘,工程施工,本科,1-3年,5-10K,地理信息/测绘工程相关专业|测绘内业数据处理经验,地理信息工程师
北京·西城区·广安门,瑞驰行,互联网,本科,1-3年,8-13K,售前支持经验|计算机相关专业|管理相关专业|系统集成项目管理工程师|信息系统项目管理师,信息化项目工程师
上海·杨浦区·五角场,联合互赢,广告/公关/会展,大专,1-3年,12-20K,腾讯|信息流|电商|教育,信息流优化师（腾讯）
南昌·南昌县·昌东,斗半匠,互联网,本科,1-3年,5-8K,网感好|完整的执行能力|熟知多个视频平台推荐算法|短视频,短视频编导（信息流）
太原·万柏林区·千峰,一同实验,医疗服务,硕士,1年以内,12-20K,R语言|linux|Python|单细胞分析|转录组分析|生物学相关学习背景|多组学分析,生物信息分析工程师
东莞·南城街道·南城,东莞康华医院,医疗健康,大专,经验不限,4-9K,医疗行业|医院,医学信息沟通专员
长春,好生活餐饮,物流/仓储,大专,1-3年,5-8K,运维开发|网络设备|计算机软件,网络信息部主任
资阳·雁江区·万达广场,资阳信成助融商务...,广告营销,学历不限,经验不限,3-8K,全职|无销售性质|信贷审核,信息审核员
鄂尔多斯,内蒙古百晟昊达汽...,汽车研发/制造,大专,1-3年,3-8K,供应商管理|档案管理|企业文化建设|中型及以上活动组织经验,汽车销售信息员
邢台,邢台加阳汽贸,4S店/后市场,本科,经验不限,2-3K,信息员,汽车销售信息员
长沙·岳麓区·麓谷,中项永达湖南分公司,互联网,大专,1-3年,4-6K,信息化|企业调研|用户调研|电话咨询|电话外呼,信息收集员
北京·朝阳区·望京,品众互动,互联网,本科,3-5年,12-18K,百度信息流,百度信息流高级优化
杭州·拱墅区·新天地,杭州容量互娱科技,社交网络与媒体,本科,1-3年,5-10K,Premiere|网剧|短视频|剪辑|不接受兼职,信息流剪辑师
银川·金凤区·大阅城,昌禾装饰,装修装饰,大专,1-3年,7-10K,B端客户|搜索引擎推广|广告投放类|其他|信息流推广|房地产/建筑,信息流投放师
南阳·卧龙区·车站南路,正大天晴,医疗健康,本科,1-3年,12-20K,专科特药|高温补贴|绩效奖金|餐补|交通补助|处方药销售|话补|抗肿瘤专用药|房补|法定节假日三薪|普药|六险一金,医药信息沟通专员
北京·朝阳区·望京,汉邦唐科技,智能硬件,本科,3-5年,15-25K,市场开发及维护|制定销售计划及策略|市场信息收集及分析|政府/社会团体|互联网/科技|销售工作经验|销售管理经验|团队管理能力|营销能力,信息化销售总监
广州·天河区·石牌,剧星传媒,广告营销,大专,1-3年,8-12K·14薪,UD|CID,信息流优化师（UD/CID）
