位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
佛山·南海区·罗村,科丰照明,电子/半导体/集成电路,本科,3-5年,12-18K,C|STM32开发|ARM开发|嵌入式/单片机开发经验,嵌入式
珠海·香洲区·南屏,奔图,其他行业,大专,经验不限,11-22K·13薪,linux|嵌入式|网络技术,嵌入式
保定·竞秀区·植物园,保定云深,智能硬件,本科,经验不限,4-9K,嵌入式技术|嵌入式软件开发,嵌入式
沈阳·沈河区·奉天街,沈阳瀚深电子科技,智能硬件,本科,3-5年,8-13K,C|C++|ARM开发|计算机相关专业|通信相关专业|嵌入式/单片机开发经验,嵌入式
北京·西城区·德胜门,智加设计,其他专业服务,本科,3-5年,8-15K,智能硬件|ARM|自动化|PCB设计|嵌入式硬件开发|嵌入式软件开发|ARM开发|Layout设计,嵌入式
绵阳·涪城区·双碑,零点自动化,智能硬件,本科,1-3年,10-15K·13薪,嵌入式技术|驱动开发|Linux|C语言|万用表,嵌入式
杭州·萧山区·建设一路,国辰迈联,医疗健康,本科,1-3年,10-12K,智能硬件|电路设计|传感器,嵌入式
天津·河东区·向阳楼,智华科技,电子/半导体/集成电路,本科,1-3年,10-15K,嵌入式技术|C#|驱动开发|C++|Linux|软件测试,嵌入式
重庆·九龙坡区·巴国城,英卡电子,计算机软件,本科,5-10年,11-20K,C++|通信相关专业|C|智能硬件|嵌入式/单片机开发经验|电气电气/自动化相关专业|ARM,嵌入式
深圳·南山区·科技园,瑞浠科技,计算机软件,本科,经验不限,15-25K,Socket技术|驱动开发|C语言|Linux,嵌入式
杭州,萤石,互联网,本科,3-5年,20-40K·15薪,C|Linux|C语言|嵌入式/单片机开发经验|驱动开发,嵌入式
大连·甘井子区·万达,鼎视科技,智能硬件,本科,3-5年,12-20K,C++|嵌入式技术|Linux|嵌入式软件开发|驱动开发,嵌入式
北京·昌平区·沙河,北京全景,广告/公关/会展,大专,经验不限,4-6K,嵌入式|电路设计|单片机,嵌入式
温州·鹿城区·双屿,太科科技,电子/硬件开发,本科,1-3年,11-20K,C|STM32开发|DSP开发|通信相关专业|机械设计制造相关专业,嵌入式
杭州·滨江区·浦沿,云岛科技,大数据,本科,1-3年,10-15K·14薪,嵌入式技术|RTOS|射频开发|PCB设计,嵌入式
西安·雁塔区·高新路,极光交互,文化艺术/娱乐,本科,1-3年,6-8K,PCB设计|单片机开发|嵌入式软件开发|电路设计|Layout设计|PLC程序设计|Python|Android,嵌入式
北京·海淀区·西北旺,viready,计算机软件,硕士,3-5年,20-30K,C|STM32开发|机械设计制造相关专业|电气电气/自动化相关专业|嵌入式/单片机开发经验,嵌入式
珠海·香洲区·金鼎,珠海佳讯创新,通信/网络设备,本科,3-5年,9-14K,C++|Linux|汇编语言|单片机开发|嵌入式技术|网络协议,嵌入式
江门·江海区·外海北,华联HLIC,其他行业,本科,3-5年,10-11K,嵌入式技术|单片机开发|电路设计|PCB工艺|FPGA开发|硬件工程师|硬件测试|硬件,嵌入式
北京·大兴区·亦庄,天津英创汇智汽车...,汽车零部件,本科,1-3年,10-15K·15薪,C|通信相关专业|嵌入式/单片机开发经验|计算机相关专业,嵌入式
合肥·蜀山区·高新区,立辰科技,智能硬件,本科,1-3年,5-10K,C++|嵌入式技术|嵌入式软件开发|C语言|嵌入式硬件开发|单片机开发,嵌入式
深圳·福田区·梅林,深圳迪斯普利克斯技术,电子/半导体/集成电路,本科,3-5年,20-40K,C++|计算机相关专业,嵌入式
西安·雁塔区·丈八,西安诺万电子,电子/半导体/集成电路,本科,3-5年,11-22K,C++|STM32开发|ARM开发|通信相关专业|电气电气/自动化相关专业|嵌入式/单片机开发经验,嵌入式
银川·金凤区·新城,沈阳煤科院,学术/科研,本科,5-10年,5-10K,嵌入式技术|C语言|Linux|硬件工程师|Python|电路设计|嵌入式硬件开发|嵌入式软件开发,嵌入式
北京·朝阳区·来广营,守护兽科技,智能硬件,本科,1-3年,8-13K,C|STM32开发|嵌入式/单片机开发经验|英语读写能力良好|电机控制|observer,嵌入式
许昌·建安区·文峰北路,联桥科技有限公司,仪器仪表/工业自动化,本科,1-3年,10-15K,STM32开发,嵌入式
上海·闵行区·老闵行,韦朗医疗,医疗健康,本科,1-3年,18-24K,驱动开发|智能硬件|嵌入式,嵌入式
北京·海淀区·学院路,企银易,智能硬件,本科,1-3年,8-12K,嵌入式,嵌入式
中山·火炬开发区·中山港,力德环境,计算机软件,本科,3-5年,7-12K,C|ARM开发|RTOS|嵌入式/单片机开发经验|计算机相关专业,嵌入式
福州·马尾区·名城港湾,中科热控,机械设备/机电/重工,本科,3-5年,10-15K,嵌入式技术|汽车,嵌入式
郑州·中原区·高新区,金橙,智能硬件,本科,1-3年,10-15K,C|ARM开发|STM32开发|计算机相关专业|嵌入式/单片机开发经验,嵌入式讲师
北京·大兴区·亦庄,锐游科技,人工智能,本科,经验不限,30-40K,STM32开发,嵌入式软件
珠海·香洲区·前山,京澳特,仪器仪表/工业自动化,本科,1-3年,8-13K,嵌入式软件开发|ARM开发|C++|Keil|Protel|Cadence,嵌入式编程
眉山,慧科集团,学术/科研,本科,3-5年,8-12K,C++,嵌入式开发
烟台·福山区·北京中路,艾睿光电,半导体/芯片,本科,经验不限,12-20K,C++|嵌入式技术|网络协议|单片机开发|DSP开发,嵌入式软件
武汉·洪山区·黄家湖大学城,鸣川科技,4S店/后市场,本科,3-5年,15-20K·13薪,C|RTOS|ARM开发|计算机相关专业|电气电气/自动化相关专业|嵌入式/单片机开发经验,嵌入式软件
北京·海淀区·西三旗,华清远见,培训/辅导机构,本科,1-3年,10-15K,C++|IT培训|C|通信相关专业|Linux|成人教育|嵌入式/单片机开发经验|ARM开发|计算机相关专业|嵌入式技术|驱动开发,嵌入式讲师
杭州·余杭区·闲林,宇宙探索,消费电子,本科,经验不限,8-13K,C|嵌入式/单片机开发经验,嵌入式开发
北京·海淀区·知春路,分音塔科技,移动互联网,本科,1-3年,15-20K,嵌入式技术,嵌入式开发
北京·海淀区·西北旺,百度,互联网,大专,1-3年,20-30K,嵌入式技术|嵌入式软件开发|驱动开发|C++|Linux|Android|ARM开发,嵌入式linux
合肥·肥西县·高新区,零重力飞机工业,铁路/船舶/航空/航天制造,本科,3-5年,12-20K·14薪,RTOS|C++|C,嵌入式软件
宁波·海曙区·海曙欧尚,宾康科技有限公司,智能硬件,本科,经验不限,4-6K,C|C++|ARM开发|通信相关专业|嵌入式/单片机开发经验|机械设计制造相关专业,嵌入式开发
