位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
长沙·岳麓区·岳麓大学城,黑马文化,培训/辅导机构,大专,经验不限,5-7K,公立学校|培训机构|线下教育|小班教学（3-25人）|大学/大专生|成人/通用|留学生|不授课|销售经验|坐班,市场班主任 双休五险一金
长沙·岳麓区·银盆岭,深圳市蓝凌软件,计算机软件,大专,经验不限,15-20K,笔译|日常会议|兼职|无需坐班,兼职小语种翻译
长沙·雨花区·侯家塘,湖南星之旅国际旅行社,旅游/景区,学历不限,经验不限,4-5K,接受无计调经验|旅游相关专业|熟练使用电脑办公|有销售性质|需要出差/跟团出游,计调
长沙·长沙县·黄花镇,湖南镭目科技有限公司,机械设备/机电/重工,本科,3-5年,10-15K·13薪,企业（To B）|面销/陌拜经验|对企业/机构（To B）销售经验,海外销售
长沙·岳麓区·麓谷,火星翻译,翻译,本科,1年以内,4-6K,英语专业|全职|小语种,QA岗位
长沙·长沙县·城西安置小区,鸿业成,仪器仪表/工业自动化,大专,1-3年,15-20K,重型机械|食品机械|汽车制造|英语可作为工作语言|机械工程专业,机械维修工程师（英语）
长沙·岳麓区·银盆岭,威胜能源,储能,本科,3-5年,10-15K,功能测试|性能测试,海外测试工程师（中压）
长沙·岳麓区·麓谷,长缆科技,机械设备/机电/重工,本科,1-3年,6-10K,客户开发与维护|市场信息搜集与分析|技术配合与沟通|仪器仪表/工业自动化|电力/燃气/水利,国际业务员
长沙·岳麓区·观沙岭,Webull微步,证券/期货,本科,5-10年,18-35K·15薪,移动端产品|C端产品|商业产品|C端产品|证券|英语能力,客户端产品经理
长沙·长沙县·星城国际,三一重工,企业服务,本科,经验不限,20-40K·16薪,海外HRBP,海外HRBP
长沙·雨花区·雨花亭,理诚科技,电子商务,本科,3-5年,9-12K·13薪,要求跨境电商运营经验|电商店铺运营|B2C|数据分析能力|不接受居家办公|亚马逊,高级亚马逊运营（周末双休）
长沙·雨花区·雨花区政府,长沙星麟科技有限公司,电子商务,本科,经验不限,5-10K,B2C|接受无跨境电商运营经验|电商店铺运营|不接受居家办公|大型B2B/B2C网站经验|亚马逊|AMAZON|跨境电商,亚马逊运营专员
长沙·岳麓区·麓谷,超级蚂蚁,游戏,本科,1-3年,8-13K,要求跨境电商运营经验|电商店铺运营|B2C|英语可作为工作语言|亚马逊,亚马逊运营
长沙·雨花区·高桥,中税网天一税务所,财务/审计/税务,本科,1-3年,7-9K,英语可用于工作|国际贸易专业|每周双休,研究评议中心研究员
长沙·岳麓区·银盆岭,立勤商贸,物流/仓储,本科,经验不限,5-10K,每周双休|年终奖,外贸业务员（双休+五险一金）
长沙,湖南星邦重工,专用设备,本科,3-5年,15-20K·16薪,工程机械,国际区域销售经理
长沙·天心区·城南路,出海一叮科技,电子商务,本科,经验不限,4-7K,电商店铺运营|平台整体运营|B2C|英语可作为工作语言|小语种|数据分析能力|不限|不接受居家办公|德语|日语|韩语|接受无跨境电商运营经验|亚马逊,跨境电商运营助理（可接受无经验）
长沙·雨花区·万家丽南路,森特威钢铁,进出口贸易,学历不限,1年以内,5-10K,建筑材料|有外贸工作经验|英语可用于工作|包住宿|每周双休|年终奖|五险一金,外贸销售
长沙·岳麓区·麓谷,环金网络,电子商务,大专,经验不限,7-10K,电商平台投放|海外广告投放|企业品牌方|KOL/达人投放经验|电商平台投放经验|海外广告投放经验|企业品牌方经验,facebook广告投放专员+独立站运营+7K-9K
长沙·芙蓉区·定王台,INDITEX(ZARA),服装/纺织,本科,在校/应届,7-9K·13薪,服饰鞋包|销售经验|五险一金|每周双休|服装鞋帽,店铺管理培训生（长沙）
长沙·岳麓区·银盆岭,迈睿欣,电子商务,大专,经验不限,8-12K,亚马逊运营|运营专员|英语|德语,Amazon亚马逊运营
长沙·天心区·省政府,妙语翻译,翻译,本科,1-3年,8-10K,小语种翻译|可兼职,小语种翻译
长沙·雨花区·侯家塘,凤仪堂,电子商务,大专,1-3年,4-9K,电商店铺运营|Amazon|B2C|大型B2B/B2C网站经验|数据分析能力|小语种,亚马逊运营（双休）
长沙·岳麓区·银盆岭,博非科技有限公司,进出口贸易,大专,经验不限,8-12K,品类运营|店铺运营|服饰/鞋帽/箱包|亚马逊|FBA|服装|精品|跨境电商,亚马逊运营专员
长沙,众霖信息,电子商务,本科,经验不限,5-10K,电商店铺运营|Amazon|英语可作为工作语言|小语种|电子商务专业,跨境电商亚马逊运营专员/管培生
长沙·芙蓉区·朝阳路,麒麟创新集团,进出口贸易,本科,3-5年,20-40K,有外贸工作经验|有团队管理经验|英语可用于工作,海外大区销售经理（欧洲/美洲）
长沙·天心区·暮云镇,湖南炎培技工学校,学校/学历教育,本科,1-3年,5-10K,全职|私立学校|线下教育|坐班|大班教学（25人以上）|大型教育机构经验|教育学专业背景|中学生|学科应试类|职业与技能培训类|党员优先|有教学经验优秀,中职任课教师+班主任
长沙·岳麓区·麓谷,务必发电子商务,电子商务,大专,3-5年,5-6K,要求跨境电商运营经验|亚马逊|速卖通|美客多,美客多运营(双休+五险一金+七小时工作制)
长沙·开福区·伍家岭,澜海科技,电子商务,本科,1-3年,6-8K,不接受居家办公|亚马逊|电商店铺运营|B2C|店铺运营|要求跨境电商运营经验,亚马逊运营专员
长沙·芙蓉区·湖南农业大学,湖南骄隆办公设备,电子商务,大专,3-5年,8-12K,英语可用于工作|管理能力|外贸业务|业务经理,外贸跟单
长沙·雨花区·劳动中路,小智时代,电子商务,本科,经验不限,7-12K,电商店铺运营|B2C|英语可作为工作语言|小语种|接受无跨境电商运营经验,跨境电商运营专员
长沙·开福区·万国城,磊通,通信/网络设备,大专,3-5年,5-10K,英语可用于工作|国际贸易专业|有外贸工作经验|年终奖|每周双休,外贸业务员（高前景行业+高提成+好氛围）
长沙·岳麓区·观沙岭,湖南棣华电子商务公司,电子商务,大专,经验不限,5-10K,服饰鞋包|英语可用于工作|有外贸工作经验|熟悉跨境平台操作|年终奖,外贸业务员
长沙·浏阳市·浏阳工业园,畅读,社交网络与媒体,本科,经验不限,6-11K·13薪,网文小说字幕校对,西语翻译审校（双休五险一金base福州）
长沙·芙蓉区·韭菜园,凯特语言中心,培训/辅导机构,本科,经验不限,7-12K,全职兼职均可,英语老师/德语/俄语/西语/法语/粤语/阿语
