位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
东营·东营区·西城,东悦,计算机软件,大专,1-3年,6-10K,C#|Web端|C++|Java|软件工程师,C++
北京·昌平区·回龙观,北京朗观,电子/半导体/集成电路,本科,1年以内,8-13K,C/C++|后端开发|数据库|QT,C++
成都·武侯区·九方购物中心,凯翼汽车,汽车研发/制造,本科,经验不限,12-20K·14薪,嵌入式技术|QT|STL|Makefile|C|c++|Shell,C++
北京·海淀区·学院路,企银易,智能硬件,本科,1-3年,8-16K,C/C++|Java,C++
北京·海淀区·上地,北大方正电子,计算机软件,本科,经验不限,20-40K,数据结构|图形图像处理|高级软件工程师|VC++,C++
娄底·娄星区·娄底,趣玩网络,游戏,中专/中技,经验不限,4-9K,Lua|游戏开发|C语言,C++
武汉·江夏区·流芳,安心智能,计算机服务,大专,5-10年,10-14K,C++|Linux|Visual Studio,C++
金华·义乌市·新城吾悦广场,润升资产,投资/融资,大专,5-10年,12-24K,C++|JavaScript|服务器配置|虚拟机技术,C++
南京·雨花台区·南京南站,华为终端有限公司,通信/网络设备,本科,经验不限,13-26K·15薪,C++|Java|计算机相关专业|C++服务端开发经验|Linux开发/部署经验,C++
北京·丰台区·科技园区,信狐天诚软件公司,计算机软件,本科,1年以内,18-26K,C++|C语言|计算机相关专业|英语读写能力良好|图形图像处理|算法基础|MFC,C++
重庆·渝北区·新牌坊,光恒互动,互联网,大专,1-3年,10-15K,C++服务端开发经验|C++|Linux|计算机相关专业|Linux开发/部署经验,C++
厦门·湖里区·高崎,芯华章,半导体/芯片,本科,3-5年,15-30K,C++服务端开发经验|Qt项目开发经验|C++,C++
北京·东城区·和平里,元心科技,计算机软件,本科,经验不限,30-60K·13薪,嵌入式技术|高级软件工程师|Linux,C++
北京·大兴区·亦庄,千乘科技,电子/半导体/集成电路,本科,1-3年,15-25K·13薪,多线程|网络编程|Windows|高级软件工程师|QT|MFC|STL,C++
南京·玄武区·梅园,深圳开拓者科技,计算机软件,本科,3-5年,13-20K,C++|Golang|QT|STL|桌面开发经验|量化交易开发经验|国内院校优先|金融,c++
深圳·南山区·科技园,普罗,医疗健康,本科,1-3年,12-16K·13薪,Windows|客户端开发|软件工程师|高级软件工程师|中级软件工程师|架构师|QT,C++
南京·秦淮区·集庆门,microvideo,计算机软件,本科,5-10年,30-35K·13薪,C++|流媒体技术|音视频编解码|计算机软件|软件工程师|网络协议|多线程,C++
南京·栖霞区·尧化,合一未来有限公司,计算机软件,本科,1-3年,15-16K,Java|Delphi,C++
广州·天河区·天河公园,舜合通达,计算机软件,本科,5-10年,30-35K,网络协议|分布式技术|流媒体技术|Linux|服务器端开发,C++
成都·郫都区·高新西,华为成都研究所,通信/网络设备,本科,经验不限,17-25K·15薪,C++|C语言|计算机相关专业|C++服务端开发经验,C++
厦门·思明区·观音山,RingCentral铃盛,计算机软件,本科,经验不限,15-30K,数据结构|客户端开发|Socket技术|网络编程|多线程|流媒体技术|音视频编解码,C++
太原·小店区·体育路,航天曌朗,计算机服务,本科,1-3年,6-7K,C++服务端开发经验|Java|团队管理经验|C++|C|微服务经验|C语言|架构设计经验|计算机相关专业|大数据项目开发经验,c++
西安·雁塔区·电子城,北京瑞风协同,计算机软件,本科,1-3年,15-30K,MFC|ActiveX|STL|MVC开发|VC++|QT,C++
北京·石景山区·杨庄,合和,计算机服务,本科,1-3年,15-25K·13薪,C++服务端开发经验|C/C++|C++|C语言|计算机相关专业,C++
扬州·广陵区·城东,扬州宇安电子,通信/网络设备,本科,经验不限,6-11K·14薪,C/C++|需求分析|解决方案,C++
